,old_data,new_data
0,21450.0,24420.243206702406
1,22390.0,24449.531562623102
2,23754.0,24612.933552029775
3,27985.0,19389.384018956218
4,26994.0,24517.899947811617
5,19145.0,23602.265952538466
6,16072.0,23180.41966659669
7,18750.0,23133.944470790913
8,23599.0,22459.52945108502
9,26594.0,24442.01877597999
10,17816.0,22588.912757746875
11,12993.0,13924.072667765664
12,27945.0,25763.63030935661
13,22990.0,19138.27048997418
14,9988.0,17067.998897841666
15,25765.0,18725.116274559638
16,22000.0,24017.631663251435
17,24987.0,25510.84628636227
18,25798.0,25164.09369935072
19,26000.0,24814.648221486947
20,25497.0,21919.369273806922
21,21400.0,15622.113196177175
22,24400.0,17799.509474377846
23,13874.0,13965.159507832956
24,29610.0,24062.054857026553
25,28922.0,24734.217289922526
26,25999.0,23748.029331763275
27,9645.0,16515.263470866717
28,22286.0,21543.101395914564
29,25988.0,23473.275526758283
30,23997.0,24469.138875666773
31,26398.0,24248.921329536475
32,26986.0,24309.50186432572
33,21872.0,23261.03457918763
34,20649.0,20970.969878338277
35,29900.0,24509.959214187926
36,17999.0,20744.801491709193
37,28095.0,27978.851690125186
38,27875.0,28907.00867885491
39,24888.0,24546.446347977733
40,12488.0,13431.207914715167
41,13995.0,18646.662266646745
42,22379.0,23520.614451461704
43,15000.0,13894.532979395008
44,18999.0,22928.3265490653
45,24500.0,25174.4075947355
46,23965.0,18606.81008592737
47,29895.0,24713.458883330924
48,21350.0,23048.995234315982
49,29290.0,27893.055677388096
50,24599.0,24391.910120722372
51,9995.0,12287.444885072997
52,5984.0,4590.772894087248
53,24650.0,22620.131654630415
54,16995.0,20876.328629303956
55,12973.0,16267.689403883414
56,24972.0,25531.908746801084
57,19574.0,16717.65820657229
58,19900.0,19317.57604415808
59,20475.0,23313.048126763897
60,20998.0,20192.875005746027
61,29987.0,23027.03092859639
62,21300.0,23978.827366990037
63,26588.0,25474.66435493948
64,20590.0,23064.66798644443
65,17917.0,19606.257341447752
66,13900.0,15845.813096252503
67,18691.0,21349.810611521127
68,20835.0,19610.044258220354
69,25500.0,24973.889297006186
70,4300.0,16436.59297330957
71,20450.0,24527.501666718395
72,15999.0,17899.68767629168
73,26800.0,20324.29645001283
74,26995.0,24435.102853047196
75,26500.0,21858.659923906205
76,28998.0,26490.376295003574
77,15200.0,18885.779081592802
78,29935.0,23673.818800277775
79,16995.0,23054.399715331383
80,22653.0,23880.52610408864
81,24795.0,28136.108243480325
82,23790.0,20738.877895342186
83,15900.0,19197.93103768048
84,17994.0,15839.542607377982
85,27795.0,24744.038430730114
86,29354.0,24762.10783040477
87,11957.0,12079.104400107404
88,15991.0,19516.608695556177
89,20891.0,24231.37608548603
90,29925.0,26157.640240348643
91,25995.0,23436.711041830247
92,29521.0,20655.60479842848
93,25998.0,25813.35977626103
94,22115.0,24858.811321131187
95,7995.0,14698.566287238616
96,20065.0,22337.941716201836
97,22395.0,18843.762475850526
98,19000.0,21075.590190838324
99,17999.0,17600.321546759456
100,15494.0,19159.24735539686
101,27830.0,27930.106473214924
102,24500.0,19819.959796327632
103,17998.0,18698.081767354626
104,16000.0,16900.811906055547
105,6500.0,16749.723841607105
106,19500.0,19669.021681942046
107,25999.0,25869.684323142283
108,24498.0,23439.919809728628
109,23999.0,21258.018102903152
110,29550.0,21431.33257490606
111,19990.0,17767.904232954606
112,29998.0,21476.55873587937
113,28595.0,24017.60139082186
114,22901.0,22334.169948254945
115,28991.0,24776.333351431647
116,29777.0,25581.108984778402
117,27.0,28012.354049648624
118,27960.0,27989.86366377282
119,21695.0,23543.64831067901
120,25750.0,24446.02947043348
121,17999.0,21821.665540535236
122,19298.0,22416.32657937985
123,27980.0,17821.809220175026
124,27468.0,24660.593989785062
125,13995.0,15781.778948845342
126,24900.0,24883.569355862914
127,14991.0,20479.528893762268
128,22700.0,20626.827128422447
129,25000.0,25347.536389001412
130,24995.0,24262.570319609484
131,23490.0,25447.081439762376
132,3999.0,9650.299470807891
133,27900.0,22785.42379722884
134,29694.0,24390.682244803756
135,9900.0,18745.181536108954
136,20998.0,22202.79781388142
137,13999.0,14860.152889185352
138,27414.0,24290.22391118016
139,18990.0,18855.849365407834
140,25787.0,25210.17427812633
141,23987.0,22268.811902733753
142,13474.0,17039.443184019998
143,24999.0,24404.250056503806
144,13995.0,14680.019150141394
145,23775.0,23145.69331136346
146,22599.0,26211.6954396856
147,23483.0,23668.847191191977
148,22978.0,20655.23008946539
149,15875.0,16996.049039911944
150,20825.0,24636.752898700535
151,12500.0,14877.623868264025
152,23500.0,24413.359696421074
153,11495.0,11053.596431718208
